p,d,q,P,D,Q,AIC,BIC,runtime_seconds,converged,error
2,2,3,0,1,0,2459.2155910056317,2476.779113116575,0.10710358619689941,False,
2,2,4,0,1,0,2444.434563217595,2464.874429698392,0.08211660385131836,True,
2,2,5,0,1,0,2418.8108237532288,2442.1120628391172,0.15052485466003418,False,
2,2,6,0,1,0,2402.528804025552,2428.6762770314976,0.1831221580505371,False,
3,0,0,0,1,0,2494.2017115725976,2505.99675113411,0.019378662109375,True,
3,0,1,0,1,0,2496.1057942306616,2510.8495936825525,0.043332576751708984,True,
3,0,2,0,1,0,2497.2097346470737,2514.9022939893425,0.07432341575622559,True,
3,0,3,0,1,0,2480.6082196839634,2501.1997166422284,0.07196974754333496,True,
3,0,4,0,1,0,2460.9554561499363,2484.4312476149817,0.15543556213378906,False,
3,0,5,0,1,0,2445.6572401492394,2472.0025233156543,0.1560213565826416,False,
3,0,6,0,1,0,2429.3116366144754,2458.5114458727567,0.23247551918029785,False,
3,1,0,0,1,0,2491.192312691681,2502.958882382118,0.01574420928955078,True,
3,1,1,0,1,0,2477.4350285200203,2492.143240633067,0.07817840576171875,True,
3,1,2,0,1,0,2478.3911679858793,2496.041022521535,0.09435367584228516,True,
3,1,3,0,1,0,2459.6477661552135,2480.1890836871285,0.1256270408630371,False,
3,1,4,0,1,0,2444.3020058299626,2467.7200353112203,0.2137744426727295,False,
3,1,5,0,1,0,2429.015614923626,2455.295443256079,0.15717434883117676,False,
3,1,6,0,1,0,2404.3997026254656,2433.526251482826,0.22191929817199707,False,
3,2,0,0,1,0,2528.2605247355555,2539.998420468078,0.03435063362121582,True,
3,2,1,0,1,0,2481.389398951859,2496.061768617513,0.057753801345825195,True,
3,2,2,0,1,0,2482.8235751838984,2500.4304187826824,0.09571075439453125,True,
3,2,3,0,1,0,2461.25730025147,2481.7480760475705,0.1348743438720703,False,
3,2,4,0,1,0,2439.359349703961,2462.719197110586,0.15794992446899414,False,
3,2,5,0,1,0,2418.8913411573185,2445.105235128943,0.17603564262390137,False,
3,2,6,0,1,0,2404.331054422434,2433.3838022068185,0.19507670402526855,False,
4,0,0,0,1,0,2477.074512611767,2491.7827247248138,0.01916193962097168,True,
4,0,1,0,1,0,2478.9483631670846,2496.5982177027404,0.04995107650756836,True,
4,0,2,0,1,0,2481.031768558928,2501.623265517193,0.09689784049987793,False,
4,0,3,0,1,0,2480.3986811113805,2503.9318204922547,0.1691598892211914,False,
4,0,4,0,1,0,2463.039080575809,2489.449345973985,0.19533586502075195,False,
4,0,5,0,1,0,2447.7174444558595,2476.9899813074317,0.1646862030029297,False,
4,0,6,0,1,0,2432.9659761767107,2465.08576636082,0.23169732093811035,False,
4,1,0,0,1,0,2473.125355746164,2487.7977254118177,0.017971277236938477,True,
4,1,1,0,1,0,2459.029702938742,2476.636546537526,0.0872499942779541,True,
4,1,2,0,1,0,2460.876288659728,2481.417606191643,0.08505988121032715,True,
4,1,3,0,1,0,2461.5194865936587,2484.995278058704,0.12010693550109863,False,
4,1,4,0,1,0,2446.4881799545974,2472.8334631210123,0.17394375801086426,False,
4,1,5,0,1,0,2430.935739135436,2460.1355483937173,0.1696488857269287,False,
4,1,6,0,1,0,2405.2434938272927,2437.2826975703892,0.2761831283569336,False,
4,2,0,0,1,0,2505.4244265339344,2520.0606949597204,0.07099246978759766,True,
4,2,1,0,1,0,2463.335727687759,2480.8992497987024,0.09199833869934082,True,
4,2,2,0,1,0,2456.511085517697,2477.0018613137977,0.14901399612426758,False,
4,2,3,0,1,0,2463.8065498561828,2487.2245793374404,0.202880859375,False,
4,2,4,0,1,0,2443.6275541698733,2469.9073825023265,0.19742703437805176,False,
4,2,5,0,1,0,2418.51628626789,2447.6428351252503,0.2152557373046875,False,
4,2,6,0,1,0,2403.9491809670462,2435.907203529869,0.23328542709350586,False,
5,0,0,0,1,0,2462.0772638142653,2479.6841074130493,0.017660856246948242,True,
5,0,1,0,1,0,2461.8412956651873,2482.3826131971023,0.12026119232177734,True,
5,0,2,0,1,0,2458.5317684859415,2482.007559950987,0.1543121337890625,False,
5,0,3,0,1,0,2464.4793542442403,2490.8896196424166,0.17081260681152344,False,
5,0,4,0,1,0,2467.122782899118,2496.467522230425,0.17566370964050293,False,
5,0,5,0,1,0,2449.7492336243354,2481.9490241610647,0.19847631454467773,False,
5,0,6,0,1,0,2435.023464135449,2470.0632352453867,0.24120402336120605,False,
5,1,0,0,1,0,2453.1325682316174,2470.6960903425606,0.01875472068786621,True,
5,1,1,0,1,0,2444.0312113176756,2464.521987113776,0.11707210540771484,True,
5,1,2,0,1,0,2445.054431593595,2468.4724610748526,0.1533358097076416,True,
5,1,3,0,1,0,2439.836966076668,2466.182249243083,0.2724308967590332,False,
5,1,4,0,1,0,2448.344288743837,2477.616825595409,0.22870278358459473,False,
5,1,5,0,1,0,2430.9811775342473,2463.1009677183565,0.31267857551574707,False,
5,1,6,0,1,0,2407.8549221626918,2442.8067807915245,0.39279627799987793,False,
5,2,0,0,1,0,2480.460816780371,2497.9807023353396,0.07796287536621094,True,
5,2,1,0,1,0,2443.354431571698,2463.794298052495,0.11404252052307129,True,
5,2,2,0,1,0,2441.4973175159057,2464.8571649225305,0.20573925971984863,False,
5,2,3,0,1,0,2441.5534004387137,2467.833228771167,0.18333220481872559,False,
5,2,4,0,1,0,2449.968885977406,2479.168695235687,0.1755971908569336,False,
5,2,5,0,1,0,2433.1965585999274,2465.235762343024,0.19205355644226074,False,
5,2,6,0,1,0,2409.082873596746,2443.9461709380075,0.2942769527435303,False,
6,0,0,0,1,0,2445.7599310024875,2466.250706798588,0.024113893508911133,True,
6,0,1,0,1,0,2446.3221726753745,2469.740202156632,0.224747896194458,False,
6,0,2,0,1,0,2447.655780134487,2474.001063300902,0.2049083709716797,False,
6,0,3,0,1,0,2449.6819655060917,2478.954502357664,0.20703411102294922,False,
6,0,4,0,1,0,2450.6888217849823,2482.8886123217117,0.2665431499481201,False,
6,0,5,0,1,0,2447.8525524348324,2482.979596656719,0.30610179901123047,False,
6,0,6,0,1,0,2437.2612176301664,2475.220969665932,0.34465861320495605,False,
6,1,0,0,1,0,2437.2725984844037,2457.7124649652005,0.02494955062866211,True,
6,1,1,0,1,0,2428.565021188512,2451.924868595137,0.1871168613433838,True,
6,1,2,0,1,0,2430.1245145188227,2456.404342851276,0.11849784851074219,True,
6,1,3,0,1,0,2426.669138373535,2455.8689476318164,0.20944929122924805,False,
6,1,4,0,1,0,2424.9283168867755,2457.0481070708847,0.21416163444519043,False,
6,1,5,0,1,0,2434.5999765587976,2469.6397476687353,0.17873215675354004,False,
6,1,6,0,1,0,2413.6797780971647,2451.5442916117336,0.28298020362854004,False,
6,2,0,0,1,0,2461.34303065761,2481.7316148577625,0.05524492263793945,True,
6,2,1,0,1,0,2427.4885025606372,2450.7897416465257,0.09743213653564453,True,
6,2,2,0,1,0,2425.881681351453,2452.095575323078,0.21365976333618164,False,
6,2,3,0,1,0,2425.683041463764,2454.8095903211242,0.17749261856079102,False,
6,2,4,0,1,0,2434.889629485256,2466.9288332283527,0.18515443801879883,False,
6,2,5,0,1,0,2438.2766417195035,2473.228500348336,0.20290112495422363,False,
6,2,6,0,1,0,2408.698332775409,2446.4669048951087,0.3542757034301758,False,
