date,actual,forecast,lower_80,upper_80,lower_95,upper_95
2019-12-08 00:00:00+00:00,61059.29761904762,66400.98754563993,56654.34312591507,76147.6319653648,51494.78123574315,81307.19385553672
2019-12-15 00:00:00+00:00,61242.19047619047,65906.50649468489,55969.22276299887,75843.79022637091,50708.74251709287,81104.2704722769
2019-12-22 00:00:00+00:00,56836.767857142855,61057.04320453794,50932.70925865225,71181.37715042364,45573.21061059955,76540.87579847634
2019-12-29 00:00:00+00:00,46505.30952380953,51599.02041770368,41291.02993166807,61907.01090373929,35834.309383992084,67363.73145141527
2020-01-05 00:00:00+00:00,50161.70238095238,58355.488954001594,47867.05733404191,68843.92057396128,42314.81701998048,74396.16088802271
2020-01-12 00:00:00+00:00,59077.59523809524,62919.39411222682,52253.573570036766,73585.21465441688,46607.429232860864,79231.35899159277
2020-01-19 00:00:00+00:00,60361.69642857143,64692.00932002404,53851.702228950846,75532.31641109723,48113.19029230214,81270.82834774593
2020-01-26 00:00:00+00:00,60893.732142857145,63775.3391773292,52763.30994473291,74787.36840992549,46933.89379747113,80616.78455718727
2020-02-02 00:00:00+00:00,60839.19642857143,63862.99185589647,52681.87751919928,75044.10619259367,46762.95312461197,80963.03058718097
2020-02-09 00:00:00+00:00,60259.83928571428,63952.47114466175,52604.79086184428,75300.15142747923,46597.691781612,81307.2505077115
2020-02-16 00:00:00+00:00,60845.125,63551.255265286985,52039.418843942585,75063.0916866314,45945.42075314752,81157.08977742644
2020-02-23 00:00:00+00:00,59787.32738095238,63246.09806074252,51572.41364739045,74919.7824740946,45392.738404992975,81099.45771649206
2020-03-01 00:00:00+00:00,58899.13690476191,65704.01202530658,53870.693058368925,77537.33099224424,47606.5123878912,83801.51166272197
2020-03-08 00:00:00+00:00,58688.47023809524,62353.71813540482,50362.889650098485,74344.54662071116,44015.3284772327,80692.10779357694
2020-03-15 00:00:00+00:00,58534.23809523809,63781.54960798175,51635.25396878454,75927.84524717896,45205.39345597715,82357.70575998636
2020-03-22 00:00:00+00:00,55372.744047619046,63551.6985879365,51251.90071376276,75851.49646211024,44740.7810262554,82362.6161496176
2020-03-29 00:00:00+00:00,53471.982142857145,58712.71084882636,46261.302987211835,71164.11871044089,39669.92582034203,77755.49587731069
2020-04-05 00:00:00+00:00,52845.267857142855,58340.285954394596,45739.092053536486,70941.4798552527,39068.42294715601,77612.14896163318
2020-04-12 00:00:00+00:00,47210.88690476191,59739.29298151017,46990.07270269425,72488.51326032609,40241.04316521959,79237.54279780074
2020-04-19 00:00:00+00:00,47415.69642857143,58290.428489117076,45394.88089669129,71185.97608154286,38568.390358457764,78012.46661977639
2020-04-26 00:00:00+00:00,50172.41666666666,58778.20867328262,45737.97563474892,71818.44171181633,38834.89324791054,78721.5240986547
2020-05-03 00:00:00+00:00,48161.90476190476,56129.35870953049,42946.0280343933,69312.68938466768,35967.19433452877,76291.52308453221
2020-05-10 00:00:00+00:00,49590.77976190476,56646.286061868064,43321.394404493854,69971.17771924227,36267.62284728766,77024.94927644846
2020-05-17 00:00:00+00:00,50926.97619047619,59233.01635160185,45768.051900423074,72697.98080278063,38640.13028524396,79825.90241795973
2020-05-24 00:00:00+00:00,47439.642857142855,57344.90886024981,43741.313833116146,70948.50388738347,36540.005623976365,78149.81209652325
2020-05-31 00:00:00+00:00,49527.607142857145,58105.84617519395,44365.01913847585,71846.67321191204,37091.06469169036,79120.62765869754
2020-06-07 00:00:00+00:00,48776.244047619046,60135.41218111866,46258.7102082524,74012.11415398493,38912.82791510361,81357.99644713372
2020-06-14 00:00:00+00:00,48219.744047619046,59166.349973647986,45155.09065713764,73177.60929015833,37737.97800896495,80594.72193833103
2020-06-21 00:00:00+00:00,49813.94642857143,59388.47093734785,45243.93426677269,73533.007607923,37756.2688491295,81020.6730255662
2020-06-28 00:00:00+00:00,50480.79166666666,58713.90863003677,44437.3387473236,72990.47851274995,36879.779169162386,80548.03809091116
2020-07-05 00:00:00+00:00,51458.875,59288.80824402385,44881.415086108704,73696.201401939,37254.60184935361,81323.01463869409
2020-07-12 00:00:00+00:00,51252.57738095238,57374.55764369908,42837.51848170025,71911.59680569792,35142.074796036046,79607.04049136212
2020-07-19 00:00:00+00:00,50896.18452380953,57023.099829291576,42357.560712428705,71688.63894615445,34594.09325966537,79452.10639891778
2020-07-26 00:00:00+00:00,50475.73809523809,58953.08836205658,44160.16547376359,73746.01125034956,36329.26512571919,81576.91159839397
2020-08-02 00:00:00+00:00,50049.392857142855,58791.16953828765,43871.95047126776,73710.38860530754,35974.19296474171,81608.14611183359
2020-08-09 00:00:00+00:00,49450.92261904762,57647.5773094493,42603.12226579692,72692.03235310168,34639.06883787626,80656.08578102234
2020-08-16 00:00:00+00:00,52076.73809523809,56380.81401834082,41212.15694029911,71549.47109638252,33182.35492694528,79579.27310973636
2020-08-23 00:00:00+00:00,51872.05952380953,57697.468046372815,42405.6176827977,72989.31840994793,34310.601083398564,81084.33500934707
2020-08-30 00:00:00+00:00,51653.375,57880.190360171386,42466.13127332734,73294.24944701543,34306.421283662625,81453.95943668015
2020-09-06 00:00:00+00:00,51617.744047619046,58502.318903620224,42967.01242053252,74037.62538670794,34743.117936389346,82261.5198708511
2020-09-13 00:00:00+00:00,51507.63095238096,58495.26446477091,42839.649576999356,74150.87935254246,34552.06767048362,82438.4612590582
2020-09-20 00:00:00+00:00,52181.32738095238,59973.979699304866,44198.97391467956,75748.98548393017,35848.19028509765,84099.76911351208
2020-09-27 00:00:00+00:00,53411.93452380953,59086.29322570693,43192.79337527408,74979.79307613979,34779.28277630413,83393.30367510974
2020-10-04 00:00:00+00:00,57410.319444444445,58405.724077327235,41993.388712496555,74818.05944215792,33305.223182857626,83506.22497179685
